movie_id	imdb	title	year	path	start	end
krull_tt0085811	tt0085811	Krull	1983	/fake/path/for/movies.mp4		
revenge_of_the_nerds	tt0088000	Revenge of the Nerds	1984	/fake/path/for/movies.mp4		
what.dreams.may_tt0120889	tt0120889	What Dreams May Come	1998	/fake/path/for/movies.mp4		
oh.heavenly.dog_tt0081269	tt0081269	Oh Heavenly Dog	1980	/fake/path/for/movies.mp4		
jack	tt0116669	Jack	1996	/fake/path/for/movies.mp4		
benchwarmers_tt0437863	tt0437863	The Benchwarmers	2006	/fake/path/for/movies.mp4		
jojo.rabbit_tt2584384	tt2584384	Jojo Rabbit	2020	/fake/path/for/movies.mp4		
a.beautiful.day_tt3224458	tt3224458	A Beautiful Day in the Neighborhood	2019	/fake/path/for/movies.mp4		
shaft_2000	tt0162650	Shaft	2000	/fake/path/for/movies.mp4		
contact	tt0118884	Contact	1997	/fake/path/for/movies.mp4		
mask_of_zorro	tt0120746	The Mask of Zorro	1998	/fake/path/for/movies.mp4		
staying_alive	tt0086361	Staying Alive	1983	/fake/path/for/movies.mp4		
dog_tt11252248	tt11252248	Dog	2022	/fake/path/for/movies.mp4		
pacific_rim	tt1663662	Pacific Rim	2013	/fake/path/for/movies.mp4		
divine.secrets._tt0279778	tt0279778	Divine Secrets of the Ya-Ya Sisterhood	2002	/fake/path/for/movies.mp4		
cape_fear	tt0101540	Cape Fear	1991	/fake/path/for/movies.mp4		
teenage.mutant._tt0108308	tt0108308	Teenage Mutant Ninja Turtles III	1993	/fake/path/for/movies.mp4		
volunteers_tt0090274	tt0090274	Volunteers	1985	/fake/path/for/movies.mp4		
tag_tt2854926	tt2854926	Tag	2018	/fake/path/for/movies.mp4		
little.things_tt10016180	tt10016180	The Little Things	2021	/fake/path/for/movies.mp4		
dont.worry.darl_tt10731256	tt10731256	Don't Worry Darling	2022	/fake/path/for/movies.mp4		
tron_legacy	tt1104001	TRON: Legacy	2010	/fake/path/for/movies.mp4		
scent_of_a_woman	tt0105323	Scent of a Woman	1993	/fake/path/for/movies.mp4		
superman_2	tt0081573	Superman II	1981	/fake/path/for/movies.mp4		
saint_tt0120053	tt0120053	The Saint	1997	/fake/path/for/movies.mp4		
bourne_legacy	tt1194173	The Bourne Legacy	2012	/fake/path/for/movies.mp4		
friday_the_13th_new_beginning	tt0089173	Friday the 13th: A New Beginning	1985	/fake/path/for/movies.mp4		
black.phone_tt7144666	tt7144666	The Black Phone	2022	/fake/path/for/movies.mp4		
chronicles.of.r_tt0296572	tt0296572	The Chronicles of Riddick	2004	/fake/path/for/movies.mp4		
altered_states	tt0080360	Altered States	1980	/fake/path/for/movies.mp4		
troy	tt0332452	Troy	2004	/fake/path/for/movies.mp4		
high.crimes_tt0257756	tt0257756	High Crimes	2002	/fake/path/for/movies.mp4		
pelican_brief	tt0107798	The Pelican Brief	1993	/fake/path/for/movies.mp4		
six_days_seven_nights	tt0120828	Six Days Seven Nights	1998	/fake/path/for/movies.mp4		
1408_tt0450385	tt0450385	1408	2007	/fake/path/for/movies.mp4		
sphinx_tt0083113	tt0083113	Sphinx	1981	/fake/path/for/movies.mp4		
excalibur	tt0082348	Excalibur	1981	/fake/path/for/movies.mp4		
doors_tt0101761	tt0101761	The Doors	1991	/fake/path/for/movies.mp4		
vacation_tt1524930	tt1524930	Vacation	2015	/fake/path/for/movies.mp4		
fast.times.at.r_tt0083929	tt0083929	Fast Times at Ridgemont High	1982	/fake/path/for/movies.mp4		
police_academy_2	tt0089822	Police Academy 2: Their First Assignment	1985	/fake/path/for/movies.mp4		
woman.in.black_tt1596365	tt1596365	The Woman in Black	2012	/fake/path/for/movies.mp4		
just.married_tt0305711	tt0305711	Just Married	2003	/fake/path/for/movies.mp4		
talented.mr..ri_tt0134119	tt0134119	The Talented Mr. Ripley	2000	/fake/path/for/movies.mp4		
halloween_tt1502407	tt1502407	Halloween	2018	/fake/path/for/movies.mp4		
iron.eagle_tt0091278	tt0091278	Iron Eagle	1986	/fake/path/for/movies.mp4		
striptease_tt0117765	tt0117765	Striptease	1996	/fake/path/for/movies.mp4		
biloxi_blues	tt0094746	Biloxi Blues	1988	/fake/path/for/movies.mp4		
it_2	tt7349950	It Chapter Two	2019	/fake/path/for/movies.mp4		
kid_tt0219854	tt0219854	The Kid	2000	/fake/path/for/movies.mp4		
300_rise_of_an_empire	tt1253863	300: Rise of an Empire	2014	/fake/path/for/movies.mp4		
life_of_pi	tt0454876	Life of Pi	2012	/fake/path/for/movies.mp4		
nine_to_five	tt0080319	9 to 5	1980	/fake/path/for/movies.mp4		
50_first_dates	tt0343660	50 First Dates	2004	/fake/path/for/movies.mp4		
student.bodies_tt0083133	tt0083133	Student Bodies	1981	/fake/path/for/movies.mp4		
eat.pray.love_tt0879870	tt0879870	Eat Pray Love	2010	/fake/path/for/movies.mp4		
do.the.right.th_tt0097216	tt0097216	Do the Right Thing	1989	/fake/path/for/movies.mp4		
little.shop.of._tt0091419	tt0091419	Little Shop of Horrors	1987	/fake/path/for/movies.mp4		
austin.powers.i_tt0118655	tt0118655	Austin Powers: International Man of Mystery	1997	/fake/path/for/movies.mp4		
navy.seals_tt0100232	tt0100232	Navy Seals	1990	/fake/path/for/movies.mp4		
iron_man	tt0371746	Iron Man	2008	/fake/path/for/movies.mp4		
casper	tt0112642	Casper	1995	/fake/path/for/movies.mp4		
without.a.paddl_tt0364751	tt0364751	Without a Paddle	2004	/fake/path/for/movies.mp4		
candyman_tt9347730	tt9347730	Candyman	2021	/fake/path/for/movies.mp4		
mission_impossible_fallout	tt4912910	Mission: Impossible - Fallout	2018	/fake/path/for/movies.mp4		
silence.of.the._tt0083079	tt0083079	Silence of the North	1981	/fake/path/for/movies.mp4		
hannibal	tt0212985	Hannibal	2001	/fake/path/for/movies.mp4		
naked_gun_25	tt0102510	The Naked Gun 2½: The Smell of Fear	1991	/fake/path/for/movies.mp4		
independence_day_resurgence	tt1628841	Independence Day: Resurgence	2016	/fake/path/for/movies.mp4		
robin_hood	tt0955308	Robin Hood	2010	/fake/path/for/movies.mp4		
tommy.boy_tt0114694	tt0114694	Tommy Boy	1995	/fake/path/for/movies.mp4		
my.favorite.yea_tt0084370	tt0084370	My Favorite Year	1982	/fake/path/for/movies.mp4		
rookie_tt0265662	tt0265662	The Rookie	2002	/fake/path/for/movies.mp4		
grown_ups	tt1375670	Grown Ups	2010	/fake/path/for/movies.mp4		
cop.._tt0106613	tt0106613	Cop & ½	1993	/fake/path/for/movies.mp4		
ray_tt0350258	tt0350258	Ray	2004	/fake/path/for/movies.mp4		
curious.case.of_tt0421715	tt0421715	Curious Case of Benjamin Button, The	2008	/fake/path/for/movies.mp4		
boomerang	tt0103859	Boomerang	1992	/fake/path/for/movies.mp4		
flash_gordon	tt0080745	Flash Gordon	1980	/fake/path/for/movies.mp4		
brewsters_millions	tt0088850	Brewster's Millions	1985	/fake/path/for/movies.mp4		
cinderella	tt1661199	Cinderella	2015	/fake/path/for/movies.mp4		
beverly_hills_cop	tt0086960	Beverly Hills Cop	1984	/fake/path/for/movies.mp4		
central_intelligence	tt1489889	Central Intelligence	2016	/fake/path/for/movies.mp4		
310.to.yuma_tt0381849	tt0381849	3:10 to Yuma	2007	/fake/path/for/movies.mp4		
john.q_tt0251160	tt0251160	John Q	2002	/fake/path/for/movies.mp4		
post_tt6294822	tt6294822	The Post	2018	/fake/path/for/movies.mp4		
dave	tt0106673	Dave	1993	/fake/path/for/movies.mp4		
fried_green_tomatoes	tt0101921	Fried Green Tomatoes	1992	/fake/path/for/movies.mp4		
karate_kid	tt0087538	The Karate Kid	1984	/fake/path/for/movies.mp4		
wonder	tt2543472	Wonder	2017	/fake/path/for/movies.mp4		
color_purple	tt0088939	The Color Purple	1986	/fake/path/for/movies.mp4		
1917	tt8579674	1917	2020	/fake/path/for/movies.mp4		
percy.jackson.s_tt1854564	tt1854564	Percy Jackson: Sea of Monsters	2013	/fake/path/for/movies.mp4		
for_your_eyes_only	tt0082398	For Your Eyes Only	1981	/fake/path/for/movies.mp4		
wild_wild_west	tt0120891	Wild Wild West	1999	/fake/path/for/movies.mp4		
cheaper_by_the_dozen	tt0349205	Cheaper by the Dozen	2003	/fake/path/for/movies.mp4		
jungle.cruise_tt0870154	tt0870154	Jungle Cruise	2021	/fake/path/for/movies.mp4		
naked_gun_3313	tt0110622	Naked Gun 33 1/3: The Final Insult	1994	/fake/path/for/movies.mp4		
wrath.of.man_tt11083552	tt11083552	Wrath of Man	2021	/fake/path/for/movies.mp4		
looper_tt1276104	tt1276104	Looper	2012	/fake/path/for/movies.mp4		
exorcism.of.emi_tt0404032	tt0404032	The Exorcism of Emily Rose	2005	/fake/path/for/movies.mp4		
terminal_tt0362227	tt0362227	The Terminal	2004	/fake/path/for/movies.mp4		
purge.election._tt4094724	tt4094724	The Purge: Election Year	2016	/fake/path/for/movies.mp4		
silverado	tt0090022	Silverado	1985	/fake/path/for/movies.mp4		
along_came_polly_fs	tt0343135	Along Came Polly	2004	/fake/path/for/movies.mp4		
